Kalimat;Kelompok
Bagaimana kamu bisa sampai di sini?;pertanyaan
Mengapa dia pergi begitu cepat?;pertanyaan
Bagaimana kita bisa meningkatkan penjualan?;pertanyaan
Jangan tinggalkan barang berharga di sini.;perintah
Bagaimana kamu bisa menyelesaikan tugas itu dengan cepat?;pertanyaan
Dia sangat ramah dan baik hati.;pernyataan
Apakah kamu sudah sarapan?;pertanyaan
Tolong tutup pintu itu.;perintah
Cepat selesaikan laporan ini.;perintah
Saya sudah menyelesaikan tugas itu.;pernyataan
Siapa yang akan membantu kita besok?;pertanyaan
Jangan lupa bawa dokumen penting.;perintah
Segera kirim undangan ini.;perintah
Bawa surat ini ke kantor pos.;perintah
Mengapa kamu tidak berbicara dengan dia?;pertanyaan
Melodi lembut dari alat musik mengisi ruangan, menciptakan suasana yang tenang dan damai.;pernyataan
Siapa yang akan menjadi pembicara utama?;pertanyaan
Ambil obat ini tiga kali sehari.;perintah
Dia sangat ramah kepada semua orang.;pernyataan
Sorotan lampu panggung memancar di atas panggung, menyoroti penampilan para seniman di depan penonton yang antusias.;pernyataan
Jangan merokok di sini.;perintah
Sang pelukis menggoreskan kuasnya di atas kanvas putih, menciptakan karya seni yang abstrak dan indah.;pernyataan
Kami sering bermain tenis di akhir pekan.;pernyataan
Kapan kita bisa bertemu untuk diskusi?;pertanyaan
Mengapa kamu tidak datang lebih awal?;pertanyaan
Kapan kamu akan memperbaiki sepeda itu?;pertanyaan
Kami akan pergi ke pegunungan minggu depan.;pernyataan
Kami akan pergi ke supermarket nanti.;pernyataan
Saya sangat lelah setelah perjalanan jauh.;pernyataan
Dia sangat suka menonton drama Korea.;pernyataan
Bagaimana pendapatmu tentang masalah ini?;pertanyaan
Kapan kamu akan pulang ke rumah?;pertanyaan
Saya sangat menyukai film itu.;pernyataan
Seseorang berjalan-jalan di taman, menikmati keindahan bunga-bunga yang mekar di bawah sinar matahari yang hangat.;pernyataan
Di perpustakaan, seseorang membenamkan diri dalam buku-buku dan mencari pengetahuan baru.;pernyataan
Tolong matikan televisi.;perintah
Suara gemerincing air hujan turun di atap, seseorang merasa hangat dan nyaman di dalam rumah mereka.;pernyataan
Mengapa kamu terlambat datang hari ini?;pertanyaan
Bagaimana kita bisa mengatasi masalah ini?;pertanyaan
Apakah kamu sudah makan siang?;pertanyaan
Bagaimana kita bisa sampai ke sana?;pertanyaan
Saya baru saja mengupdate software.;pernyataan
Jangan lupa membawa dokumen itu.;perintah
Dia sangat pandai memasak.;pernyataan
Penjaga kebun binatang merawat hewan-hewan yang ada di dalam kebun binatang.;pernyataan
Tolong jangan berisik.;perintah
Jangan lupa bawa payung.;perintah
Bawa baju ini ke laundry.;perintah
Mengapa lampu ini berkedip?;pertanyaan
Kami akan pergi ke museum minggu depan.;pernyataan
Jangan lupa untuk mengisi formulir ini.;perintah
Di kebun, seseorang merawat tanaman-tanaman mereka dengan penuh kasih sayang, menciptakan lingkungan yang indah dan sehat.;pernyataan
Seorang pengusaha properti mengembangkan properti-properti untuk proyek-proyek komersial.;pernyataan
Apakah kamu sudah makan malam?;pertanyaan
Kami akan berangkat pukul delapan.;pernyataan
Siapa yang akan menggantikannya?;pertanyaan
Dia sangat suka membaca novel misteri.;pernyataan
Dia sangat menikmati pekerjaannya.;pernyataan
Segera kirimkan dokumen ini.;perintah
Mengapa kamu tidak datang ke rapat?;pertanyaan
Siapa yang akan mengantar kita ke bandara?;pertanyaan
Jangan duduk di meja itu.;perintah
Ilustrator membuat gambar-gambar yang indah untuk buku-buku anak-anak.;pernyataan
Segera buat janji dengan dokter gigi.;perintah
Di mana kamu menyimpan foto-foto itu?;pertanyaan
Simpan dokumen ini dengan aman.;perintah
Kapan kamu akan mengambil cuti?;pertanyaan
